Time_of_Breach,Breach_Type,Attack_Vector,Vulnerability_Type,Targeted_System,Data_Exfiltrated,Attack_Successful,Attack_Duration_Hours,Damage_Cost_Dollars,Incident_Response_Time_Minutes,User_Notified,Legal_Action_Taken,Cyber_Hacked
7,Phishing,Insider,Misconfiguration,Server,True,False,31,762109,16,False,True,True
20,Malware,Insider,Zero-day,Mobile,True,False,45,769055,210,True,True,True
15,Data Leak,Insider,Misconfiguration,IoT,False,True,33,241004,165,False,True,False
11,SQL Injection,Email,Known,Mobile,True,False,22,542264,140,False,False,True
8,SQL Injection,Physical,Known,Mobile,True,False,27,565138,73,False,False,False
21,Data Leak,Network,Misconfiguration,Desktop,True,True,27,477873,71,False,True,True
7,SQL Injection,Insider,Known,Desktop,True,True,21,53474,229,False,False,True
19,Phishing,Physical,Zero-day,IoT,False,False,35,229278,214,True,False,True
23,Data Leak,Insider,Zero-day,Server,False,False,47,34498,184,False,True,True
11,SQL Injection,Insider,Misconfiguration,Desktop,True,True,10,833014,122,True,False,False
11,Data Leak,Physical,Zero-day,IoT,True,True,47,266836,154,True,True,False
21,Malware,Insider,Known,Server,False,True,28,655633,215,True,True,False
4,Data Leak,Email,Known,Desktop,True,True,40,422256,89,False,True,True
8,SQL Injection,Email,Known,Mobile,False,True,37,463971,237,False,False,False
3,Phishing,Email,Zero-day,Desktop,False,False,41,725038,15,True,False,True
22,Data Leak,Web,Known,IoT,True,True,33,502432,113,True,False,False
21,Data Leak,Insider,Zero-day,Desktop,True,False,8,261489,68,False,True,True
2,SQL Injection,Web,Misconfiguration,Desktop,True,False,37,718503,57,False,False,True
12,Phishing,Network,Known,Server,True,False,41,741776,204,False,False,True
6,Phishing,Physical,Misconfiguration,Server,True,False,33,845684,157,False,True,True
2,Malware,Network,Zero-day,Mobile,True,True,19,528247,21,True,True,True
21,Malware,Web,Zero-day,IoT,True,False,30,456649,170,False,True,True
1,SQL Injection,Email,Misconfiguration,Mobile,True,False,14,107823,20,False,True,True
12,Phishing,Insider,Known,Mobile,True,True,14,589859,34,True,True,False
22,Phishing,Insider,Known,Desktop,True,False,36,719366,102,False,True,True
12,Malware,Email,Known,Mobile,False,True,7,269854,184,True,False,True
17,Malware,Insider,Misconfiguration,Server,True,True,43,792515,52,True,True,False
10,SQL Injection,Physical,Zero-day,Mobile,True,True,34,533934,204,True,True,True
16,Phishing,Physical,Misconfiguration,IoT,False,False,32,417417,90,True,False,False
15,Data Leak,Physical,Zero-day,Mobile,False,False,42,91848,17,False,True,True
15,Malware,Network,Known,IoT,True,False,33,862315,170,True,False,False
19,SQL Injection,Email,Known,IoT,False,False,14,183198,26,False,True,True
12,Phishing,Physical,Zero-day,Mobile,True,False,25,500813,94,False,False,False
23,Phishing,Web,Known,Mobile,False,True,28,551745,186,True,False,False
20,Malware,Physical,Misconfiguration,Mobile,False,True,42,512937,29,False,False,True
3,SQL Injection,Network,Zero-day,IoT,False,False,39,287431,132,False,False,True
5,Data Leak,Web,Known,Server,True,False,30,907470,69,True,False,False
19,Malware,Email,Known,Desktop,False,False,31,564049,109,False,True,False
7,SQL Injection,Email,Known,Mobile,False,False,24,925218,227,False,False,True
21,Phishing,Physical,Known,Desktop,False,True,4,378640,96,False,False,False
9,Data Leak,Web,Zero-day,Mobile,False,False,14,340905,190,True,False,False
7,SQL Injection,Web,Zero-day,IoT,False,False,9,696214,20,True,True,True
18,Data Leak,Physical,Known,IoT,False,False,36,585986,78,False,True,False
4,SQL Injection,Physical,Misconfiguration,Desktop,True,False,6,979510,223,True,True,True
14,SQL Injection,Insider,Misconfiguration,Server,True,False,24,807548,229,True,True,True
18,SQL Injection,Insider,Misconfiguration,IoT,True,True,26,830807,49,False,True,False
9,SQL Injection,Physical,Misconfiguration,Desktop,False,True,34,324674,224,False,True,True
21,Data Leak,Network,Zero-day,IoT,False,True,1,273097,25,False,False,True
2,Malware,Insider,Zero-day,Mobile,False,False,23,756056,37,True,True,True
20,Data Leak,Physical,Misconfiguration,Desktop,True,False,17,183410,71,False,True,True
15,SQL Injection,Web,Zero-day,Desktop,False,True,36,807230,95,False,False,True
7,Data Leak,Insider,Misconfiguration,Mobile,False,True,37,486489,84,True,False,False
12,Data Leak,Network,Known,Desktop,False,False,45,879613,230,False,True,True
8,Data Leak,Email,Known,Mobile,False,False,20,727038,128,False,False,False
15,SQL Injection,Web,Misconfiguration,Server,False,True,26,763944,179,False,True,True
3,Data Leak,Network,Zero-day,Mobile,False,True,11,418338,77,True,True,True
14,Phishing,Network,Misconfiguration,Server,True,True,20,292275,94,False,False,False
17,SQL Injection,Network,Zero-day,Desktop,True,True,1,414272,235,False,True,True
4,Data Leak,Web,Known,Mobile,True,False,44,789165,43,True,False,True
18,Phishing,Network,Zero-day,Desktop,False,True,13,992345,184,True,True,True
8,Data Leak,Email,Misconfiguration,Server,True,True,36,150360,170,False,True,True
4,Malware,Insider,Known,IoT,False,False,44,682456,158,True,True,False
2,Data Leak,Web,Known,IoT,False,True,38,289225,209,True,False,True
6,Data Leak,Network,Zero-day,IoT,True,False,13,396803,120,False,True,True
22,Malware,Physical,Known,IoT,False,True,14,731008,230,False,False,True
10,SQL Injection,Insider,Known,IoT,True,True,12,225977,32,True,True,True
4,Malware,Web,Zero-day,Server,True,False,34,975062,190,True,True,False
22,SQL Injection,Physical,Known,IoT,True,True,27,81128,159,False,False,True
18,Malware,Physical,Misconfiguration,IoT,False,False,12,607111,88,True,False,True
12,Data Leak,Network,Zero-day,Desktop,False,False,38,903428,167,False,False,True
2,Data Leak,Web,Zero-day,Mobile,False,True,36,975227,114,True,False,True
10,SQL Injection,Network,Zero-day,Mobile,True,False,1,305173,62,False,True,False
4,SQL Injection,Email,Zero-day,Mobile,True,False,26,752436,101,True,False,False
14,Phishing,Physical,Misconfiguration,Mobile,True,False,40,647840,192,True,False,True
16,Phishing,Email,Zero-day,Server,False,True,40,792179,33,True,False,False
15,Data Leak,Network,Misconfiguration,Mobile,False,False,21,333231,216,True,False,True
8,Data Leak,Insider,Zero-day,Desktop,False,True,32,204430,89,False,False,True
